,unique_key,complaint_description,source,status,status_change_date,created_date,last_update_date,close_date,incident_address,street_number,street_name,city,incident_zip,county,state_plane_x_coordinate,state_plane_y_coordinate,latitude,longitude,location,council_district_code,map_page,map_tile
10,14-00003798,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-07 09:39:30+00:00,2014-01-02 00:00:00+00:00,"4800 MANCHACA RD, AUSTIN, TX",4800,MANCHACA,AUSTIN,78745,TRAVIS,3099106.2124184,10054348.8508106,30.22393637,-97.79215101,"(30.22393637, -97.79215101)",0,643D,MF18
11,14-00003199,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:57:11+00:00,2014-01-02 00:00:00+00:00,"1100 BAYLOR ST, AUSTIN, TX",1100,BAYLOR,AUSTIN,78703,TRAVIS,3111066.84476382,10073694.6537553,30.27635824,-97.75287049,"(30.27635824, -97.75287049)",0,584R,MH23
12,14-00003188,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:53:52+00:00,2014-01-02 00:00:00+00:00,"700 LYDIA ST, AUSTIN, TX",700,LYDIA,AUSTIN,78702,TRAVIS,3118714.89543068,10069734.8460558,30.26498332,-97.72894226,"(30.26498332, -97.72894226)",0,585Y,MK22
13,14-00003194,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:55:40+00:00,2014-01-02 00:00:00+00:00,"1000 W 10TH ST, AUSTIN, TX",1000,10TH,AUSTIN,78703,TRAVIS,3111260.57454072,10073232.9984989,30.27507686,-97.75229086,"(30.27507686, -97.75229086)",0,584R,MH23
14,14-00003800,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-07 09:40:17+00:00,2014-01-02 00:00:00+00:00,"2000 E 7TH ST, AUSTIN, TX",2000,7TH,AUSTIN,78702,TRAVIS,3121440.81721339,10068788.1042884,30.26220513,-97.72038055,"(30.26220513, -97.72038055)",0,585Y,MK22
15,14-00003176,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:50:55+00:00,2014-01-02 00:00:00+00:00,"5800 BURNET RD, AUSTIN, TX",5800,BURNET,AUSTIN,78756,TRAVIS,3114656.02012159,10094886.3270071,30.33438156,-97.73993834,"(30.33438156, -97.73993834)",0,525W,MJ28
16,14-00003179,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:52:20+00:00,2014-01-02 00:00:00+00:00,"200 SAN MARCOS ST, AUSTIN, TX",200,SAN MARCOS,AUSTIN,78702,TRAVIS,3117083.1033541,10068453.8798637,30.26156708,-97.73420445,"(30.26156708, -97.73420445)",0,615B,MJ21
17,14-00003197,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:56:50+00:00,2014-01-02 00:00:00+00:00,"1100 W 10TH ST, AUSTIN, TX",1100,10TH,AUSTIN,78703,TRAVIS,3110770.1969596,10073359.5630644,30.27545604,-97.75383461,"(30.27545604, -97.75383461)",0,584R,MH23
18,14-00003196,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:56:26+00:00,2014-01-02 00:00:00+00:00,"1100 W 10TH ST, AUSTIN, TX",1100,10TH,AUSTIN,78703,TRAVIS,3110770.1969596,10073359.5630644,30.27545604,-97.75383461,"(30.27545604, -97.75383461)",0,584R,MH23
19,14-00003191,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-06 12:54:57+00:00,2014-01-02 00:00:00+00:00,"5340 BURNET RD, AUSTIN, TX",5340,BURNET,AUSTIN,78756,TRAVIS,3114750.25,10092578.775,30.3280324,-97.73981024,"(30.3280324, -97.73981024)",0,555B,MJ27
20,14-00003799,Graffiti Abatement,Mass Entry,Closed,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00,2014-01-07 09:39:58+00:00,2014-01-02 00:00:00+00:00,"8100 DAVIS MOUNTAIN PASS, AUSTIN, TX",8100,DAVIS MOUNTAIN,AUSTIN,78726,TRAVIS,3075898.64408738,10126252.6018369,30.42303056,-97.86055274,"(30.42303056, -97.86055274)",0,462K,MC35
21,14-00000312,ARR Street Sweeping,Phone,Closed,2014-01-02 08:59:37+00:00,2014-01-01 09:06:03+00:00,2014-01-03 07:11:27+00:00,2014-01-02 08:59:37+00:00,"7409 CREPE MYRTLE DR, AUSTIN, TX",7409,CREPE MYRTLE,AUSTIN,78744,TRAVIS,3117174.41705343,10032941.2601478,30.16394311,-97.73654087,"(30.16394311, -97.73654087)",0,675T,MJ13
22,14-00005020,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:46:36+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
23,14-00005030,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:48:42+00:00,2014-01-03 00:00:00+00:00,"3600 MANOR RD, AUSTIN, TX",3600,MANOR,AUSTIN,78723,TRAVIS,3128190.2755143,10078796.6650009,30.28927921,-97.69825696,"(30.28927921, -97.69825696)",0,586E,ML24
24,14-00004990,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:35:34+00:00,2014-01-03 00:00:00+00:00,"1000 WOODWARD ST, AUSTIN, TX",1000,WOODWARD,AUSTIN,78704,TRAVIS,3112625.2514941,10054909.903106,30.22462239,-97.74931709,"(30.22462239, -97.74931709)",0,645A,MJ18
25,14-00005014,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:45:16+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
26,14-00005036,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:50:03+00:00,2014-01-03 00:00:00+00:00,"6800 WEST GATE BLVD, AUSTIN, TX",6800,WEST GATE,AUSTIN,78745,TRAVIS,3091727.75,10048807.0,30.20916379,-97.81590389,"(30.20916379, -97.81590389)",0,643P,ME17
27,14-00005031,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:48:52+00:00,2014-01-03 00:00:00+00:00,"3600 MANOR RD, AUSTIN, TX",3600,MANOR,AUSTIN,78723,TRAVIS,3128190.2755143,10078796.6650009,30.28927921,-97.69825696,"(30.28927921, -97.69825696)",0,586E,ML24
28,14-00005047,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:51:37+00:00,2014-01-03 00:00:00+00:00,"6800 WEST GATE BLVD, AUSTIN, TX",6800,WEST GATE,AUSTIN,78745,TRAVIS,3091727.75,10048807.0,30.20916379,-97.81590389,"(30.20916379, -97.81590389)",0,643P,ME17
29,14-00005002,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:41:42+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
30,14-00005019,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:46:13+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
31,14-00004999,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:40:05+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
32,14-00005037,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:50:13+00:00,2014-01-03 00:00:00+00:00,"6800 WEST GATE BLVD, AUSTIN, TX",6800,WEST GATE,AUSTIN,78745,TRAVIS,3091727.75,10048807.0,30.20916379,-97.81590389,"(30.20916379, -97.81590389)",0,643P,ME17
33,14-00005009,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:44:39+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
34,14-00005018,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:45:57+00:00,2014-01-03 00:00:00+00:00,"4000 E 12TH ST, AUSTIN, TX",4000,12TH,AUSTIN,78721,TRAVIS,3130645.60252366,10074908.7867107,30.278432,-97.69077239,"(30.278432, -97.69077239)",0,586P,ML23
35,14-00005029,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:48:32+00:00,2014-01-03 00:00:00+00:00,"3600 MANOR RD, AUSTIN, TX",3600,MANOR,AUSTIN,78723,TRAVIS,3128190.2755143,10078796.6650009,30.28927921,-97.69825696,"(30.28927921, -97.69825696)",0,586E,ML24
36,14-00005006,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:42:56+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
37,14-00005045,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:51:10+00:00,2014-01-03 00:00:00+00:00,"6800 WEST GATE BLVD, AUSTIN, TX",6800,WEST GATE,AUSTIN,78745,TRAVIS,3091727.75,10048807.0,30.20916379,-97.81590389,"(30.20916379, -97.81590389)",0,643P,ME17
38,14-00005005,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:42:45+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
39,14-00005027,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:48:21+00:00,2014-01-03 00:00:00+00:00,"3600 MANOR RD, AUSTIN, TX",3600,MANOR,AUSTIN,78723,TRAVIS,3128190.2755143,10078796.6650009,30.28927921,-97.69825696,"(30.28927921, -97.69825696)",0,586E,ML24
40,14-00005021,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:46:56+00:00,2014-01-03 00:00:00+00:00,"2200 E 10TH ST, AUSTIN, TX",2200,10TH,AUSTIN,78702,TRAVIS,3122225.56397437,10069590.1760361,30.26435919,-97.71783585,"(30.26435919, -97.71783585)",0,585Z,MK22
41,14-00005040,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:50:37+00:00,2014-01-03 00:00:00+00:00,"6800 WEST GATE BLVD, AUSTIN, TX",6800,WEST GATE,AUSTIN,78745,TRAVIS,3091727.75,10048807.0,30.20916379,-97.81590389,"(30.20916379, -97.81590389)",0,643P,ME17
42,14-00005024,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:47:15+00:00,2014-01-03 00:00:00+00:00,"1800 MANOR RD, AUSTIN, TX",1800,MANOR,AUSTIN,78722,TRAVIS,3120423.56706039,10076584.4760332,30.28370172,-97.72302236,"(30.28370172, -97.72302236)",0,585L,MK23
43,14-00005008,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:44:29+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
44,14-00005012,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:45:08+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
45,14-00005041,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:50:45+00:00,2014-01-03 00:00:00+00:00,"6800 WEST GATE BLVD, AUSTIN, TX",6800,WEST GATE,AUSTIN,78745,TRAVIS,3091727.75,10048807.0,30.20916379,-97.81590389,"(30.20916379, -97.81590389)",0,643P,ME17
46,14-00005011,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:44:58+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
47,14-00005043,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:50:52+00:00,2014-01-03 00:00:00+00:00,"6800 WEST GATE BLVD, AUSTIN, TX",6800,WEST GATE,AUSTIN,78745,TRAVIS,3091727.75,10048807.0,30.20916379,-97.81590389,"(30.20916379, -97.81590389)",0,643P,ME17
48,14-00004989,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:35:22+00:00,2014-01-03 00:00:00+00:00,"1000 WOODWARD ST, AUSTIN, TX",1000,WOODWARD,AUSTIN,78704,TRAVIS,3112625.2514941,10054909.903106,30.22462239,-97.74931709,"(30.22462239, -97.74931709)",0,645A,MJ18
49,14-00005000,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:40:11+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
50,14-00005046,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:51:21+00:00,2014-01-03 00:00:00+00:00,"6800 WEST GATE BLVD, AUSTIN, TX",6800,WEST GATE,AUSTIN,78745,TRAVIS,3091727.75,10048807.0,30.20916379,-97.81590389,"(30.20916379, -97.81590389)",0,643P,ME17
51,14-00005034,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:49:36+00:00,2014-01-03 00:00:00+00:00,"1500 S PLEASANT VALLEY RD, AUSTIN, TX",1500,PLEASANT VALLEY,AUSTIN,78741,TRAVIS,3121861.17808568,10060251.8187383,30.2387132,-97.71968466,"(30.2387132, -97.71968466)",0,615Q,MK20
52,14-00004997,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:38:59+00:00,2014-01-03 00:00:00+00:00,"1000 WOODWARD ST, AUSTIN, TX",1000,WOODWARD,AUSTIN,78704,TRAVIS,3112625.2514941,10054909.903106,30.22462239,-97.74931709,"(30.22462239, -97.74931709)",0,645A,MJ18
53,14-00005003,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:42:31+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
54,14-00005048,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:51:42+00:00,2014-01-03 00:00:00+00:00,"6800 WEST GATE BLVD, AUSTIN, TX",6800,WEST GATE,AUSTIN,78745,TRAVIS,3091727.75,10048807.0,30.20916379,-97.81590389,"(30.20916379, -97.81590389)",0,643P,ME17
55,14-00005044,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:51:00+00:00,2014-01-03 00:00:00+00:00,"6800 WEST GATE BLVD, AUSTIN, TX",6800,WEST GATE,AUSTIN,78745,TRAVIS,3091727.75,10048807.0,30.20916379,-97.81590389,"(30.20916379, -97.81590389)",0,643P,ME17
56,14-00005038,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:50:27+00:00,2014-01-03 00:00:00+00:00,"6800 WEST GATE BLVD, AUSTIN, TX",6800,WEST GATE,AUSTIN,78745,TRAVIS,3091727.75,10048807.0,30.20916379,-97.81590389,"(30.20916379, -97.81590389)",0,643P,ME17
57,14-00004998,Graffiti Abatement,Mass Entry,Closed,2014-01-03 00:00:00+00:00,2014-01-03 00:00:00+00:00,2014-01-09 09:39:59+00:00,2014-01-03 00:00:00+00:00,"1800 PARKER LN, AUSTIN, TX",1800,PARKER,AUSTIN,78741,TRAVIS,3117649.10405951,10059956.9683766,30.2381741,-97.73304121,"(30.2381741, -97.73304121)",0,615T,MJ19
58,14-00001317,Loud Music,Phone,Closed,2014-01-03 00:04:12+00:00,2014-01-03 00:04:12+00:00,2014-01-03 00:04:12+00:00,2014-01-03 00:04:12+00:00,"9401 S 1ST ST 422, AUSTIN, TX",9401,1ST,AUSTIN,78748,TRAVIS,3096658.82217229,10034156.6727041,30.16858433,-97.80135303,"(30.16858433, -97.80135303)",0,673R,MF14
59,14-00001320,Loud Music,Phone,Closed,2014-01-03 00:52:34+00:00,2014-01-03 00:52:34+00:00,2014-01-03 00:52:34+00:00,2014-01-03 00:52:34+00:00,"4509 E ST ELMO RD 3102, AUSTIN, TX",4509,ST ELMO,AUSTIN,78744,TRAVIS,3116216.65919215,10048154.1464202,30.20582209,-97.73844785,"(30.20582209, -97.73844785)",0,645P,MJ17
60,14-00001321,Loud Music,Phone,Closed,2014-01-03 01:50:25+00:00,2014-01-03 01:50:25+00:00,2014-01-03 01:50:25+00:00,2014-01-03 01:50:25+00:00,"300 FERGUSON DR 4TH 8401, AUSTIN, TX",300,FERGUSON,AUSTIN,78753,TRAVIS,3131451.15145475,10110497.7060879,30.37620696,-97.68553777,"(30.37620696, -97.68553777)",0,496U,MM31
61,14-00000775,ARR Brush and Bulk,Phone,Closed,2014-01-03 05:46:42+00:00,2014-01-02 10:45:36+00:00,2014-01-03 05:46:43+00:00,2014-01-03 05:46:42+00:00,"7404 ONION CREEK DR, AUSTIN, TX",7404,ONION CREEK,AUSTIN,78744,TRAVIS,3113440.93823342,10034488.1587767,30.16843433,-97.74823761,"(30.16843433, -97.74823761)",0,675N,MJ14
62,14-00001326,Traffic Signal - Maintenance,Phone,Closed,2014-01-03 06:19:04+00:00,2014-01-03 06:00:52+00:00,2014-01-03 06:19:05+00:00,2014-01-03 06:19:04+00:00,"N PLEASANT VALLEY RD &E 2ND ST, AUSTIN, TX",,N PLEASANT VALLEY RD &E 2ND ST,AUSTIN,78702,,3124050.75,10065832.0,30.2539105,-97.71233655,"(30.2539105, -97.71233655)",0,615H,MK21
63,14-00000997,Street Lights New,Phone,Closed,2014-01-03 06:31:52+00:00,2014-01-02 14:50:47+00:00,2014-01-03 06:31:52+00:00,2014-01-03 06:31:52+00:00,"1302 NORTH ST, AUSTIN, TX",1302,NORTH,AUSTIN,78756,TRAVIS,3116006.65768614,10090568.0986359,30.32242475,-97.73597777,"(30.32242475, -97.73597777)",0,555F,MJ27
64,14-00000710,Park Maintenance - Grounds,Phone,Closed,2014-01-03 06:36:41+00:00,2014-01-02 09:36:57+00:00,2014-01-03 06:36:42+00:00,2014-01-03 06:36:41+00:00,"10109 LISI ANNE DR, AUSTIN, TX",10109,LISI ANNE,AUSTIN,78717,WILLIAMSON,3109497.76380996,10159491.8093252,30.51230318,-97.75153225,"(30.51230318, -97.75153225)",0,374Z,MH43
65,14-00000962,Street Light Issue- Address,Phone,Closed,2014-01-03 06:49:38+00:00,2014-01-02 14:22:31+00:00,2014-01-03 06:49:38+00:00,2014-01-03 06:49:38+00:00,"4021 N IH 35 NB, AUSTIN, TX",4021,35,AUSTIN,78722,TRAVIS,3122008.68751585,10081761.3893121,30.29782984,-97.71761618,"(30.29782984, -97.71761618)",0,555Z,MK25
66,14-00000261,Sign - Traffic Sign Maintenance,Phone,Closed,2014-01-03 06:57:22+00:00,2014-01-01 04:25:34+00:00,2014-01-03 06:57:22+00:00,2014-01-03 06:57:22+00:00,"1411 MEARNS MEADOW BLVD, AUSTIN, TX",1411,MEARNS MEADOW,AUSTIN,78758,TRAVIS,3125428.52467527,10110008.6993689,30.37525546,-97.70466813,"(30.37525546, -97.70466813)",0,496S,ML31
67,14-00000530,ARR Street Sweeping,Phone,Closed,2014-01-03 07:06:07+00:00,2014-01-01 19:20:57+00:00,2014-01-03 07:06:07+00:00,2014-01-03 07:06:07+00:00,"3301 DENVER AVE, AUSTIN, TX",3301,DENVER,AUSTIN,78723,TRAVIS,3126956.51043721,10077435.1761109,30.28561701,-97.70226689,"(30.28561701, -97.70226689)",0,586E,ML24
